mean_acc,sd_acc,cond_AI,mean_conf,sd_conf,mean_acc2,sd_acc2,cond_unc,mean_conf2,sd_conf2
0.27,0.09,Before AI,0.39,0.14,0.46,0.12,without uncertainty,0.55,0.16
0.5,0.1,After AI,0.53,0.17,0.53,0.07,with uncertainty,0.58,0.15
