mean_acc,sd_acc,cond_AI,mean_conf,sd_conf,mean_acc2,sd_acc2,cond_unc,mean_conf2,sd_conf2
0.48,0.12,Before AI,0.49,0.17,0.59,0.09,without uncertainty,0.56,0.16
0.61,0.09,After AI,0.63,0.15,0.63,0.05,with uncertainty,0.58,0.15
