"","ResponseId","age","college","male_num","AI_trust_num","Task_diff_num","Dmn_know_a_num","Dmn_know_p_num","atn_ch","accuracy","confidence","time_taken","AI_use","bar"
"52","R_XRFV1wd3KSh8w7L",41,1,0,3,5,0.2,0,1,0.5,0.08125,10.06746875,0.375,0
"53","R_3D8ybG7SsU7w4jB",57,0,0,2,4,0.2,0.4,0,0.5625,0.3625,8.99928125,0.31875,1
"54","R_tYXg6mdF9O0QPrX",40,0,0,4,2,0.4,0.4,1,0.53125,0.6,10.8345,0.5125,0
"55","R_2dmOmqHlo0Qznkx",28,1,1,2,4,0.6,0,1,0.4375,0.68125,5.97675,0.30625,0
"56","R_31hMAot4jDSGS6Z",25,0,0,3,1,0.4,0,1,0.625,0.6375,16.10775,0.59375,1
"57","R_3e2LsfjPy5BKRbC",28,1,0,2,4,0.8,0.2,0,0.625,0.6625,8.64646875,0.425,0
"58","R_2cCNyQR8fYD8N5U",21,0,1,4,3,0.6,0.2,1,0.59375,0.44375,8.3636875,0.575,1
"59","R_yllLgeMlqTZDhLj",21,0,1,4,1,0.6,0,1,0.40625,0.49375,8.83153125,0.26875,0
"60","R_3m2Z9IOpTigHrSU",31,0,1,4,2,0.2,0.2,0,0.65625,0.425,8.70675,0.59375,1
"61","R_2RTYSLuS7jIV3VC",54,1,1,4,4,0.6,0.4,0,0.5625,0.4375,7.8705,0.53125,0
"62","R_2s7kl891Z9GBUWa",30,1,0,4,2,1,0.4,1,0.59375,0.7625,11.37528125,0.75,0
"63","R_2Y9h1b2E4GDjGlY",48,1,1,4,3,0.2,0,0,0.59375,0.54375,5.5630625,0.6375,1
"64","R_2Ynup9mzbRziFag",20,0,1,2,4,0.2,0,1,0.59375,0.38125,9.45671875,0.3875,1
"65","R_1hM6wa9kSUNH1Ep",27,1,0,2,4,0.6,0.2,0,0.59375,0.65625,16.87553125,0.525,1
"66","R_3dWI2pcrQ6pgWQW",23,0,1,3,2,0.4,0.2,1,0.46875,0.7125,5.5525,0.61875,0
"67","R_3O0wOumB2iXWwql",29,1,0,4,4,0.8,0,1,0.5625,0.4375,14.62840625,0.475,1
"68","R_2rBAY208NsMD2IE",28,1,0,2,4,0.6,0.8,1,0.625,0.85625,5.39446875,0.55625,0
"69","R_3Ei0VFuFY8NRNYI",34,1,1,3,4,0.6,0,1,0.625,0.45,16.86790625,0.51875,1
"70","R_1g2sU5O3CsO3QFi",25,1,1,2,3,0.4,0.2,0,0.5,0.71875,7.20553125,0.36875,1
"71","R_3CUcOioBR7jsEmr",25,0,0,4,2,0.2,0.4,1,0.65625,0.59375,12.1390625,0.78125,0
"72","R_2VxRm60qNqWMzvG",20,0,1,5,2,0.6,0.6,0,0.59375,0.68125,13.94878125,0.7375,1
"73","R_1F5jopdza3Q288l",21,0,1,4,3,0.8,0,1,0.6875,0.75625,6.45503125,0.64375,1
"74","R_1JRW0tZ4nfhwGDs",22,1,0,5,4,0.4,0,0,0.5625,0.7375,5.712125,0.8125,1
"75","R_b8ZWwSxP0PUf2y5",38,0,1,4,3,0.4,0,1,0.5625,0.4375,7.803875,0.64375,0
"76","R_31KpSuswjU9fRyK",28,0,0,4,2,0.8,0.4,0,0.59375,0.60625,10.47578125,0.53125,1
"77","R_1FbQTuGHERv9hNh",20,0,1,5,4,0,0,1,0.5625,0.78125,7.93578125,0.7875,1
"78","R_1EWnWzzjUzi0F4p",41,0,1,4,4,1,1,0,0.5625,0.89375,9.78440625,0.7875,0
"79","R_3eHLwPbxKYA02rv",21,0,0,2,4,0.6,0.2,1,0.53125,0.475,7.9696875,0.6,1
"80","R_1lB0UmQ0EKn17Kt",20,0,1,5,4,0.6,0.2,1,0.625,0.5125,12.39090625,0.5375,1
"81","R_1Injgg4T1mfn5VB",56,1,0,4,4,0.2,0.2,0,0.28125,0.60625,22.47184375,0.33125,0
"82","R_UrUGrUYwcUzf9n3",24,0,1,4,3,0.2,0.2,1,0.59375,0.4,7.465875,0.54375,1
"83","R_x5Rs1GxD4ju4N7r",38,1,1,3,4,0.6,0.6,1,0.59375,0.4,8.41525,0.54375,0
"84","R_2uOLjZoSRPwCzMO",39,0,1,5,1,0.2,0.4,1,0.34375,0.85,10.42671875,0.7875,0
"85","R_svqMr55RTvSq9Tb",32,1,0,4,2,0.8,0.2,1,0.625,0.54375,9.1998125,0.53125,1
"86","R_1JVhO3JZuxaPwDj",37,1,0,2,4,0.4,0,1,0.59375,0.3625,6.143,0.3,0
"87","R_2nq062m405bPwLn",32,0,1,4,3,0.6,0.4,1,0.59375,0.7125,3.96259375,0.65,0
"88","R_3hu8aeWZDOaF2xr",29,0,1,4,5,0,0,1,0.5625,0.7375,8.9436875,0.7875,1
"89","R_1f4bLhhQdj8vfBF",34,0,1,4,3,0.2,0.2,1,0.65625,0.4125,6.948875,0.41875,1
"90","R_3QJiOABg22on0Wi",24,1,0,4,2,0.4,0.2,1,0.53125,0.525,6.0636875,0.6875,0
"91","R_tQKevyemPIwqr2p",41,1,0,4,2,0.6,0.2,1,0.5625,0.54375,8.1228125,0.74375,0
"92","R_2B8VbVp8QXPiZTJ",35,0,1,3,4,0.4,0,1,0.53125,0.28125,8.549625,0.3,0
"93","R_1PTsrMRaxBVJ3Li",32,1,1,4,3,0.4,0,1,0.5625,0.5875,7.29459375,0.73125,1
"94","R_2fATs8WTUoK2c5C",20,0,0,3,4,0.6,0.2,1,0.53125,0.825,4.80334375,0.63125,0
"95","R_DdTjh74QzXNHIaZ",36,0,0,4,3,0.6,0.2,1,0.5625,0.4625,11.9858125,0.75,1
"96","R_vITXm5mp1EtaDLP",34,1,0,2,4,0.4,0,1,0.5625,0.6,7.40703125,0.75625,1
"97","R_2ZNWWm7JSRn4WSU",20,0,0,4,2,0.6,0.4,1,0.5625,0.65625,6.857375,0.51875,1
"98","R_2ScxbuZLpxXGhZB",36,0,0,5,2,0,0,0,0.5625,0.75625,10.073125,0.925,1
"99","R_6Yktf5yRyYQq5CV",33,1,0,4,4,0.6,0,1,0.65625,0.6125,4.7108125,0.69375,0
"100","R_2cBhg2q86tKTvOY",26,1,0,2,3,1,0.2,0,0.625,0.4125,7.430125,0.34375,1
"101","R_1fjyKx3MpvlArLz",20,0,0,4,4,0.8,0.2,1,0.65625,0.71875,10.6236875,0.61875,0
"102","R_2xUXdzK9YkR2JC7",20,0,0,3,4,0.4,0,1,0.5625,0.50625,12.1500625,0.45,1
"103","R_2e4jjNhizs8CCEJ",22,1,0,4,3,0.2,0,1,0.59375,0.64375,6.80140625,0.69375,0
"104","R_1118Q5jQdKSYqCf",31,1,1,4,4,0.4,0.2,1,0.5625,0.5,9.769,0.51875,0
"105","R_3G7XoU6W2Rpc07a",19,0,1,4,3,0.8,0.4,0,0.5625,0.7,7.21759375,0.5875,1
"106","R_1jIjvIpE80Qg7Th",42,1,1,2,4,0.2,0,1,0.53125,0.58125,4.855125,0.6875,0
"107","R_2cvH21TruCbSnrh",46,1,0,4,4,0.2,0,1,0.59375,0.51875,11.862,0.8875,0
"108","R_3iybB6S0OqfYsir",30,0,1,4,3,0.4,0,1,0.625,0.725,6.01353125,0.725,1
"109","R_w6tKRNDOUb7NFSN",23,0,1,5,2,0.6,0.4,1,0.5625,0.61875,18.6774375,0.68125,1
"110","R_3Pdx2J4VK1deDv2",56,0,1,1,1,0.2,0,1,0.25,0.3875,7.77275,0,0
"111","R_3rY7Dy21ENawstb",18,0,1,5,2,0.4,0,1,0.53125,0.74375,6.25484375,0.64375,1
"112","R_3kFYnZ6hDbkfb3c",30,1,0,2,2,1,0,0,0.59375,0.76875,7.4788125,0.4875,1
"113","R_3fv10VMtORusggP",22,1,1,4,4,0.4,0,1,0.5625,0.75625,18.5595,0.7125,0
"114","R_2tJQLagG2M6QdOa",36,1,1,2,4,0.2,0,1,0.59375,0.33125,11.136,0.325,1
"115","R_1OUhaHX2ruEcKJT",27,0,0,3,4,0.6,0.4,0,0.59375,0.20625,7.127625,0.46875,1
"116","R_1Q48jAD4pTY0iwE",38,1,0,4,5,0.2,0,1,0.46875,0.475,7.73003125,0.39375,0
"117","R_29ay5nG6FZMFmIO",27,1,1,4,5,0.2,0,1,0.5625,0.35625,5.40596875,0.55,0
"118","R_1kZXPjgdTdh1AjP",20,0,0,2,2,0.6,0,1,0.53125,0.6375,9.74365625,0.6125,1
