"","ResponseId","age","college","male_num","AI_trust_num","Task_diff_num","Dmn_know_a_num","Dmn_know_p_num","atn_ch","accuracy","confidence","time_taken","AI_use","AI","bar"
"161","R_eJXJ1RugnblJow9",20,0,0,4,4,0.8,0.2,0,0.461538461538462,0.707692307692308,13.2844615384615,NA,0,0
"162","R_1OEaXiF6Xs42rsn",48,1,0,2,4,0.4,0.6,0,0.461538461538462,0.415384615384615,9.964,NA,0,0
"163","R_1QtQoMjy78LyoDf",36,0,1,2,2,0.6,0.2,0,0.615384615384615,0.492307692307692,18.9154615384615,NA,0,0
"164","R_307OQjs96WIEAX4",33,1,1,4,2,0.6,0.2,1,0.692307692307692,0.692307692307692,13.0576153846154,NA,0,0
"165","R_yUtpzqHZBZbfO5r",46,1,0,4,3,0.2,0.2,1,0.384615384615385,0.215384615384615,16.8112307692308,NA,0,0
"166","R_2SDNwJSlNDzQKI4",38,0,0,4,3,0.6,0.6,1,0.538461538461538,0.569230769230769,15.1157692307692,NA,0,0
"167","R_2ygcqvOse7AxPfH",32,1,0,4,2,1,0.6,0,0.461538461538462,0.969230769230769,39.4224615384615,NA,0,0
"168","R_wUgyZabqSwDA4Y9",25,1,1,4,3,0.6,0.2,1,0.230769230769231,0.569230769230769,12.2906923076923,NA,0,0
"169","R_2E4NwdSazRP4TGE",18,0,0,3,2,0.2,0,0,0.538461538461538,0.446153846153846,13.3293076923077,NA,0,0
"170","R_3Dv90Lfjh1tTgL6",33,0,0,3,2,0.8,0,0,0.615384615384615,0.492307692307692,24.2067692307692,NA,0,0
"171","R_tLjwQQjei5qIBMt",58,1,1,4,4,0.2,0,0,0.307692307692308,0.415384615384615,19.9516923076923,NA,0,0
"172","R_2dzjMKw6OPvPipm",24,1,0,4,4,0.6,0,1,0.461538461538462,0.569230769230769,17.3575384615385,NA,0,0
"173","R_2So8JUQIsrbVu8K",29,0,1,4,4,0.4,0.2,1,0.461538461538462,0.384615384615385,16.7886923076923,NA,0,0
"174","R_1Iv1VxxfEO91KYT",19,0,0,4,1,0.2,0,1,0.384615384615385,0.215384615384615,14.9847692307692,NA,0,0
"175","R_3NWFiWcxIRu5vX2",18,0,1,4,2,0.4,0,0,0.230769230769231,0.4,29.2909230769231,NA,0,0
"176","R_Qg0pW0MrwzTlZvj",32,1,1,5,4,0.6,0.6,0,0.307692307692308,0.753846153846154,38.4278461538462,NA,0,0
"177","R_1BY4TZBPcDxBXCI",32,1,1,5,4,0.6,0.6,0,0.461538461538462,0.830769230769231,35.7847692307692,NA,0,0
"178","R_1pyUT2xKq7tDArL",36,0,1,5,1,0.4,0.4,1,0.615384615384615,0.446153846153846,28.7330769230769,NA,0,0
"179","R_10BJzh2xkqkXP9G",49,0,1,3,4,0.8,0.4,1,0.461538461538462,0.738461538461538,14.5693846153846,NA,0,0
"180","R_0wkGlbEsBo72LBv",34,1,1,2,3,0.2,0,1,0.538461538461538,0.323076923076923,31.8411538461538,NA,0,0
"181","R_1qUHBLbY2RlvVOV",25,0,0,2,3,0.6,0.2,1,0.538461538461538,0.523076923076923,22.5525384615385,NA,0,0
"182","R_QgY8hyXx0Pmc1dD",34,1,1,4,4,0.8,0.4,1,0.384615384615385,0.861538461538462,16.9250769230769,NA,0,0
"183","R_roGerEtWcV6TRNT",33,1,0,3,3,0.2,0.2,0,0.461538461538462,0.523076923076923,24.8544615384615,NA,0,0
"184","R_3jfxfISpaswm605",44,1,1,4,4,0.4,0.4,1,0.461538461538462,0.338461538461538,16.6422307692308,NA,0,0
"185","R_sNiUXsAQHUF0U9j",35,0,0,5,1,0.6,0.6,0,0.538461538461538,0.538461538461538,26.9738461538462,NA,0,0
"186","R_2uwzNn25d3H6Mu0",27,0,0,4,2,1,1,1,0.384615384615385,0.815384615384615,43.4139230769231,NA,0,0
"187","R_1OplfLWAJhmVrNk",57,1,0,4,4,0.6,0.2,1,0.538461538461538,0.523076923076923,84.0445384615385,NA,0,0
"188","R_3qsXvPziWMVXlCs",24,0,1,3,3,0.4,0.4,0,0.461538461538462,0.738461538461538,22.8166923076923,NA,0,0
"189","R_1o84p7QZFHNiUOh",31,1,1,4,1,0.4,0.4,1,0.615384615384615,0.384615384615385,14.8544615384615,NA,0,0
"190","R_OliIl76lWVWnUEp",37,0,0,4,4,0.4,0.2,1,0.307692307692308,0.569230769230769,15.4503846153846,NA,0,0
"191","R_C1C5ojO7jGgIqml",64,0,0,4,4,0.2,0,1,0.461538461538462,0.461538461538462,24.7576153846154,NA,0,0
"192","R_2vk6MQHU9u5Khfz",47,0,0,4,4,0.8,0.2,1,0.769230769230769,0.415384615384615,32.7255384615385,NA,0,0
"193","R_w5d7tiTJJco0Bxv",32,1,1,4,4,0.8,0,1,0.615384615384615,0.538461538461538,7.54669230769231,NA,0,0
"194","R_1HoVpK2zrJ4h2Da",45,1,0,2,4,0.6,0,1,0.461538461538462,0.6,113.133384615385,NA,0,0
"195","R_3Pe0OlQn2SyMRge",51,1,1,4,2,0.6,0.4,1,0.461538461538462,0.646153846153846,35.1704615384615,NA,0,0
"196","R_1floJHnSj3EIGBW",33,1,1,5,5,0.4,0.4,1,0.307692307692308,0.415384615384615,25.0015384615385,NA,0,0
"197","R_3smiF6LXktgnfF6",40,1,0,5,3,0.2,0.2,1,0.692307692307692,0.353846153846154,8.96984615384615,NA,0,0
"198","R_9z8DUlB3BC9anEB",40,1,1,4,4,0.4,0,1,0.615384615384615,0.338461538461538,9.426,NA,0,0
"199","R_3ND8S7eFPywQ0XG",25,0,0,3,4,0.6,0,0,0.615384615384615,0.553846153846154,11.2404615384615,NA,0,0
"200","R_1N2efRTviFlAoWu",25,1,0,2,4,0.6,0,1,0.461538461538462,0.615384615384615,21.6088461538462,NA,0,0
"201","R_3GqPPwHEwMIkCSF",51,1,0,4,1,0.6,0.2,1,0.538461538461538,0.8,609.761230769231,NA,0,0
"202","R_22mqvTFwijCFDOC",22,0,1,3,2,0.4,0.2,1,0.461538461538462,0.784615384615385,11.569,0.461538461538462,1,0
"203","R_vr9oYzUEhrjrmAF",58,1,0,2,4,0.2,0,0,0.538461538461538,0.615384615384615,9.10807692307692,0.461538461538462,1,0
"204","R_1eVGQkDn4wmTveD",18,0,0,3,3,0.6,0.4,0,0.692307692307692,0.630769230769231,12.2471538461538,0.476923076923077,1,1
"205","R_9SmL2ZpD54Eow3T",59,0,0,3,2,0.4,0,1,0.538461538461538,0.630769230769231,8.25076923076923,0.569230769230769,1,1
"206","R_2yegKpfProRdTHs",30,0,0,3,3,0.6,0.4,1,0.538461538461538,0.6,10.8459230769231,0.584615384615385,1,0
"207","R_3rSwlBik2Gfkh5B",30,1,0,5,4,0,0,1,0.538461538461538,0.384615384615385,6.29584615384615,0.476923076923077,1,0
"208","R_1EiEj4FyRqbuA40",24,1,1,5,5,0.4,0.2,1,0.615384615384615,0.630769230769231,7.43430769230769,0.630769230769231,1,1
"209","R_3iyQxtIShxHleOm",18,0,1,3,3,0.6,0.2,0,0.538461538461538,0.492307692307692,7.98930769230769,0.630769230769231,1,1
"210","R_3gTWxd8okkHqgWE",23,0,1,4,3,0.6,0,1,0.538461538461538,0.846153846153846,13.0240769230769,0.676923076923077,1,0
"211","R_0P91reh8CsGYQIV",21,0,1,4,1,0.4,0.2,1,0.461538461538462,0.692307692307692,7.36130769230769,0.6,1,0
"212","R_2WGM38KGUDeGLkc",20,0,0,4,2,0.8,0.6,0,0.692307692307692,0.707692307692308,5.74853846153846,0.507692307692308,1,1
"213","R_1K3CAo2kTuUk5pJ",31,1,1,4,4,0.8,0,1,0.615384615384615,0.630769230769231,5.71392307692308,0.584615384615385,1,0
"214","R_2aY973l52plt7Bv",21,0,0,2,2,0.4,0.4,1,0.615384615384615,0.953846153846154,6.24453846153846,0.953846153846154,1,1
"215","R_1N2EC9A3NcCumLn",23,0,1,2,3,0.4,0.2,1,0.692307692307692,0.661538461538462,5.18130769230769,0.769230769230769,1,0
"216","R_UxNdIEuBcSD4Jnr",26,1,1,2,5,0,0,1,0.461538461538462,0.369230769230769,7.77984615384615,0.307692307692308,1,0
"217","R_9XEw40pHMWQvsel",22,1,1,2,4,0.4,0,1,0.538461538461538,0.630769230769231,11.8932307692308,0.692307692307692,1,0
"218","R_2ClcZpBJkRng4bF",46,1,0,5,2,0.4,0.2,1,0.692307692307692,0.861538461538461,7.922,0.615384615384615,1,1
"219","R_w7z6QyyjQbmgn4t",26,1,0,2,3,0.4,0.2,0,0.692307692307692,0.507692307692308,6.347,0.646153846153846,1,1
"220","R_0CEZexeez6PmpY5",25,1,0,4,4,0.4,0,1,0.538461538461538,0.738461538461538,8.29461538461539,0.276923076923077,1,1
"221","R_wZSfcAGv5NaiceJ",33,1,1,2,2,0.4,0.2,1,0.692307692307692,0.615384615384615,7.05738461538462,0.646153846153846,1,1
"222","R_uknfXYnH7IEu6xb",41,0,1,4,4,0.2,0,1,0.615384615384615,0.646153846153846,9.74546153846154,0.815384615384615,1,1
"223","R_3KwJ0CY6mYNnCWX",30,0,1,3,2,0.4,0.4,0,0.692307692307692,0.707692307692308,9.27115384615385,0.461538461538462,1,1
"224","R_2VCRRO3FlQGg4yf",23,0,1,3,2,0.2,0,1,0.461538461538462,0.430769230769231,8.50961538461539,0.276923076923077,1,0
"225","R_3GllcSVAbWgPJc6",35,1,0,4,4,0.4,0,1,0.538461538461538,0.261538461538462,6.896,0.276923076923077,1,0
"226","R_PTHzERZQpfZFYLT",27,0,1,4,3,0.6,0,0,0.692307692307692,0.738461538461538,7.75823076923077,0.769230769230769,1,0
"227","R_XRkHP28XftIToGZ",20,0,0,3,4,0.6,0,1,0.461538461538462,0.523076923076923,6.80269230769231,0.384615384615385,1,0
"228","R_2Xii2SX9yhNcbdr",59,0,0,1,2,1,0.4,1,0.615384615384615,0.784615384615385,8.41523076923077,0.415384615384615,1,0
"229","R_2OOWqGVsHSMpKYP",23,0,1,4,2,0.4,0.2,1,0.538461538461538,0.461538461538462,9.51761538461538,0.261538461538462,1,1
"230","R_r9FFDydNduScHYZ",21,0,1,4,4,0.4,0,1,0.538461538461538,0.615384615384615,7.17546153846154,0.230769230769231,1,0
